cluster_id	length	description	n_members	member_uniprot_accs
UniRef50_A0A009HW70	1322	Tape measure domain protein n=206 Tax=Bacteria TaxID=2 RepID=A0A009HW70_ACIB9	9	A0A8I1HFM5,A0AAX1IZZ4,A0A6B2I2W8,A0A0J1DHE3,A0A828STB6,A0A385EZ79,A0AB37TDT4,A0A009HW70,A0A7U3Y1W8
UniRef50_A0A010S5C8	226	Chitosanase n=51 Tax=Colletotrichum TaxID=5455 RepID=A0A010S5C8_9PEZI	13	A0A9P9X9D4,A0A9Q8SM49,A0A010S5C8,A0ABQ9RTJ9,A0A135S761,A0AAI9XJY8,A0AAI9Y650,A0A135T6B2,A0A9P7R4Y2,A0AAD8XNU4,A0AAJ0E463,A0ABQ9PB47,A0ABQ9SHQ0
UniRef50_A0A010S5I9	203	Glycoside hydrolase family 19 catalytic domain-containing protein n=33 Tax=Pseudomonadota TaxID=1224 RepID=A0A010S5I9_PSEFL	5	A0A010S5I9,A0AB39WSG8,A0ABY0XRK7,A0A1Y6D126,A0A5E6YAT7
UniRef50_A0A010SMU1	1048	peptidoglycan glycosyltransferase n=1551 Tax=Pseudomonadati TaxID=3379134 RepID=A0A010SMU1_PSEFL	323	A0A3T0JZB3,A0A423M846,A0A7Z3C836,A0A9X4HEF0,A0AAQ2I134,A0A2C5V7J5,A0A423GSN7,A0A4Q4LBP3,A0A5E6XU96,A0A921TAQ8,A0A0A6D716,A0A0N9W709,A0A423LSC0,A0A423MWF5,A0A423NFB2,A0A423P7D0,A0A4Y8VCT3,A0A5E6X3D4,A0A5E7AK73,A0A5E7P7W6,A0A9X3BG35,A0AAE2AYZ4,A0A1J0ENT6,A0A370S823,A0A423H886,A0A5E7TV13,A0A9E6NMG1,A0AAE2AAW1,V8R0I8,A0A010SMU1,A0A345RVD5,A0A4R7V0D6,A0A5C4KZL6,A0A5E7LX56,A0A5E7RER3,A0A854X4W3,A0A923JE46,A0AAU7ES85,A0A0N0WRK4,A0A0P9MTP5,A0A0P9SZF6,A0A0R2YMU1,A0A0R3AM59,A0A0X1T0N1,A0A1C2D9B9,A0A1H2LRP2,A0A1I0E3N0,A0A1I5XPB1,A0A1N6WJE3,A0A1X0N0X5,A0A233RG52,A0A239B9Q4,A0A239IYK0,A0A244EXN1,A0A291HR71,A0A2K4WR23,A0A2N1EGM4,A0A3M3JW59,A0A3M4KA86,A0A3M4M8B0,A0A3M4VYB4,A0A3M4Y6F8,A0A3M5TZD6,A0A3M6DTN4,A0A423DZV3,A0A443ZSQ1,A0A4Q9QJM9,A0A5R9RR51,A0A6S5RT87,A0A7D5DB80,A0A7X3KX69,A0A7Z6U9Q5,A0A7Z6UNT7,A0A9Q3X936,A0AAX3IBL5,A0AB34U863,A0AB37RDA2,A0AB39I604,A0ABP7E3D7,A0ABQ2YAJ7,A0ABT6QLK7,A0ABT9KBG6,A0ABU5FCC5,A0ABW8DHA7,A0ABX8PVW8,A0ABX8YMD8,A0ABY0U1V8,S2KMX8,A0A0N0XC02,A0A0P9K4X8,A0A0P9PSY3,A0A0P9Y434,A0A0Q0E9C6,A0A109KME6,A0A1H7C4M9,A0A1M7PN54,A0A2D0AE46,A0A2H9U450,A0A2K4WIE9,A0A2N7TXN5,A0A328XS10,A0A379IIF1,A0A3G7U227,A0A3M3BT08,A0A3M3FKQ2,A0A3M3VVE6,A0A3M5GJA2,A0A3M5RPX9,A0A3M5ZX84,A0A411MMX4,A0A7X4WA22,A0A8T8M524,A0AA40P9K6,A0AA46ZWG2,A0AAE5S4T3,A0AAU8XE50,A0AAW4E479,A0AB35JWI9,A0AB35R8U2,A0AB37ZEA2,A0ABC8B9R2,A0ABN4MZK6,A0ABP6VFD3,A0ABQ5PSQ0,A0ABS0KUY8,A0ABS9FRC2,A0ABT3LEB9,A0ABT5PJ67,A0ABW7DCC0,A0ABX4PSI6,A0ABX7GE42,A0ABY1UB53,F3FIC3,I4K409,N9TZS7,A0A0D0TF22,A0A0P9KI60,A0A0P9PJ50,A0A0P9R3R6,A0A0S2SP31,A0A0W0HUE5,A0A1A9F4H6,A0A1H2H5D2,A0A1Y0D250,A0A2A2PQH6,A0A2P5TN30,A0A2V0QIA1,A0A380SWD0,A0A3M3QL00,A0A3M3Y9L1,A0A3M4RTP1,A0A3M5J7W2,A0A3M5J874,A0A3M5KVT5,A0A3M5WN20,A0A3M6B192,A0A3M6FS93,A0A4Q0I089,A0A4Y9TEY3,A0A512B4V0,A0A5E7UXZ7,A0A6B2AU67,A0A6M8F8G2,A0A7W7KGZ3,A0A7Y7Y3X9,A0A7Y7YD88,A0A7Z6Y2W7,A0AA42BFD2,A0AA43DS64,A0AAD0LWT5,A0AAJ4B4H0,A0AAN4QAT6,A0AAP0SBH2,A0AAQ1HIR1,A0AAU8MJH2,A0AAV1BRX2,A0AAW3M061,A0AB37QQH6,A0ABD4BFN7,A0ABR7BCW4,A0ABR9A443,A0ABS3TV07,A0ABT2XZR2,A0ABU5B1Q9,A0ABV4PMV9,A0ABY5CBL5,Q4ZPG7,A0A0D0L7V9,A0A0N8R6W9,A0A0P9IAB6,A0A0P9U218,A0A0Q0CH06,A0A0Q0EE87,A0A0Q0FX98,A0A193SVY7,A0A1G8CPU5,A0A1G8JX37,A0A1H0FJM0,A0A1H0NLG9,A0A1H2HNW7,A0A1Y0CUG9,A0A261WNI7,A0A2S9DA71,A0A2T0IEI4,A0A3M3Z928,A0A3M4B1L4,A0A3M4S8P1,A0A3M5ZTC1,A0A3M6D433,A0A3S4R8Q5,A0A5E6QG67,A0A679GGA6,A0A7U7EQT8,A0A7W4DAR7,A0A7Y9XK77,A0A7Z0AV84,A0A8E2QDF8,A0A9Q4A982,A0AAD0N150,A0AAT9SNW4,A0AAW6P301,A0AAX1W0J3,A0AB35WWG3,A0AB38BMZ9,A0AB38EIH0,A0AB73RIE2,A0AB74A625,A0AB74BHM0,A0ABD6VDG9,A0ABD7V9B3,A0ABR5JTG6,A0ABS4CAF8,A0ABS5N6P7,A0ABT0SX32,A0ABV4P9S6,A0ABX4XVP3,A0ABX4YQW4,A0ABX9VAP8,A0ABY6QCT0,A0ABY7Z4U6,A0ABZ2DKQ9,Q48EX9,Q87XI7,A0A077F7T1,A0A078LNW2,A0A0P9QIH3,A0A0P9UXB1,A0A0P9VEM6,A0A0P9YTV5,A0A0Q0B7R7,A0A0Q0JGB9,A0A1A9KN63,A0A1G7QP61,A0A1G8JFT6,A0A1G8YJV4,A0A1H1U5G5,A0A1V2KC94,A0A1Y6JJC5,A0A2P7R5Z2,A0A2P7R9S0,A0A2S4HZS2,A0A2V4RDD9,A0A3D8LDI6,A0A3M2VNT6,A0A3M3HNZ8,A0A3M3YN81,A0A3M4PHL9,A0A3M5AUM7,A0A3M5PBS1,A0A5B8A6U8,A0A5M6D309,A0A5R9AJS2,A0A6G6ISR5,A0A6I6GPE2,A0A6M8MGD5,A0A7C1XEA8,A0A7U9CQR6,A0A7Y1LEW4,A0A7Y1MF54,A0A7Z3BQI9,A0A9E6NZN2,A0A9X0GX88,A0AA94JIY6,A0AAC9FYR2,A0AAD0E150,A0AAE6QF46,A0AAU8LC07,A0AAU8TSK5,A0AAW5IZN5,A0AB36L0C3,A0AB74B0K3,A0ABQ1IJL3,A0ABR5L2D5,A0ABR5M271,A0ABS0BGG5,A0ABS0UK45,A0ABS1XKW4,A0ABT3YS77,A0ABU5BJ56,A0ABU7NBQ6,A0ABX6HGF8,F3C557,Q3K7F3,S6TNZ8,A0ABS2C720,A0ABT5RIX8,A0ABT9CR57,A0ABX8P3Q0,A0ABY7A1G5,A0ABQ1DJV0,A0ABU3XXN1,A0ABY5J6F5,A0ABS8W7M8,A0ABY5HQX7,A0ABS1QQL4,A0ABS7V7Y5,A0ABS9HZT5,A0ABT3BT11,A0ABT5PC07,A0ABV7LSF5,A0ABW6BXC9,A0ABS0V4P0,A0ABU1GLJ2
UniRef50_A0A010SZQ5	176	Invasion protein IagB n=496 Tax=Pseudomonadota TaxID=1224 RepID=A0A010SZQ5_PSEFL	147	A0A0D0TNT5,A0A0N9W3C7,A0A0R2YEZ6,A0A0R2ZL48,A0A0X7JZ17,A0A120G0P9,A0A120G7Y2,A0A1D3K201,A0A1G9YHN0,A0A1H3MVD5,A0A1S2V7K8,A0A2S3VQ78,A0A2S9DI11,A0A3M3WD52,A0A3M4QB20,A0A4Y9TN44,A0A4Z0AZH1,A0A5D3GF25,A0A5N7JPW1,A0A6N1CDT4,A0A7X1AI00,A0A7Y8G6U9,A0A7Y8UTP0,A0A8B3XWI6,A0A9X0YGB6,A0A9X5QLE6,A0AAE8H9H6,A0AAP2WHB2,A0AAW5AKX3,A0AAX3FRA2,A0ABN5GEY0,A0ABS0UML2,A0ABT5RG38,A0ABW8DZ18,A0ABX2QUU4,A0ABX2YN21,A0ABY0S2Q6,C3K018,A0A0G3GFR6,A0A0H5AG64,A0A0J8G711,A0A159ZWZ8,A0A1H0IZ25,A0A2S9ENK3,A0A379IGZ1,A0A3G7UDS2,A0A5B2UX84,A0A5R8QSY4,A0A7M1KI60,A0A7X2RSL2,A0A7Y1MK28,A0A7Y8CHW4,A0A7Y8FBD0,A0A7Y8KLI6,A0A7Z1K3I2,A0A923FCM4,A0A9X9FYY5,A0ABD7TDV6,A0ABS0UWH3,A0ABS9GE12,A0ABT0EGM0,A0ABU1CNS3,A0ABU5FFK4,A0ABU6BWB4,A0ABX8F1A3,A0ABX8NXD5,A0ABY0UVX7,A0ABY1T5R9,J2Y4S6,U1TNM2,A0A0E3YA80,A0A0R3AWN9,A0A1H2N5L6,A0A1H5I4H3,A0A2L0RZU7,A0A2L1JJ22,A0A2W0EWV9,A0A423FFU2,A0A423GNI9,A0A4V1K0L6,A0A5E7GA82,A0A5E7JDG4,A0A6I3WC46,A0A7Y0ZTU1,A0A7Y1A5A8,A0A8I1E3Q7,A0A921NGU3,A0AAE7DFJ8,A0AAJ3H7I5,A0ABM7RP40,A0ABR7Z285,A0ABR9SUG4,A0ABW8R2Q9,A0ABX4QHH4,A0ABX7JUK7,A0ABY0MVH4,A0ABY0S9U5,A0ABY6QJP4,A0ABZ1A545,A0A010SZQ5,A0A0F4XN20,A0A1H5MV24,A0A1S2TD25,A0A1T2Z6S1,A0A1T3AH27,A0A1V2JTT9,A0A1V2KIA0,A0A2N1E159,A0A2T0IBI6,A0A423GCR9,A0A5M8FZP1,A0A5M9IS45,A0A5P1DIH5,A0AAU8TTS7,A0ABR5M5A3,A0ABS3ADH5,A0ABS8R4H5,A0ABT5NDW9,A0ABT9BW44,A0ABY0Z8U1,I4KC01,A0A0A1YXT3,A0A0W0HBL4,A0A0X1T785,A0A127I610,A0A172Z673,A0A1N7UFX5,A0A219A9N3,A0A2T4GBT1,A0A423FAH2,A0A4P7Y7R5,A0A4Q7D276,A0A4Z0AX72,A0A5C5QHI9,A0A5E6MYH3,A0A5E7AB85,A0A7M2J282,A0A7Y8AJU8,A0A7Z6MSC8,A0A8H9YIP2,A0A9Q3ZY76,A0AAE2PW63,A0AAX3I2D2,A0ABS0VEZ5,A0ABX0Y963,A0ABY9G3X4,A0ABZ2DH43
UniRef50_A0A010YS22	335	Transglycosylase family protein n=5 Tax=Cryptosporangium TaxID=65502 RepID=A0A010YS22_9ACTN	3	A0A1M7RNB9,A0A010YS22,A0ABP3DL04
UniRef50_A0A010YXJ8	370	G5 domain-containing protein n=10 Tax=Cryptosporangium TaxID=65502 RepID=A0A010YXJ8_9ACTN	4	A0A1M7RJR4,A0A010YXJ8,A0ABP6TB45,A0A545AW07
UniRef50_A0A011MGN2	243	Soluble lytic murein transglycosylase n=15 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011MGN2_9PROT	3	A0A011MGN2,A0A133XI15,A0ABX1TX57
UniRef50_A0A011MIA6	277	Membrane-bound lytic murein transglycosylase D n=15 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011MIA6_9PROT	2	A0A011MIA6,A0A9D7I899
UniRef50_A0A011MIU3	724	Membrane-bound lytic murein transglycosylase D n=3 Tax=Candidatus Accumulibacter TaxID=327159 RepID=A0A011MIU3_9PROT	1	A0A011MIU3
